time,ridership
00:00,24086
01:00,7142
02:00,4491
03:00,5899
04:00,5476
05:00,13979
06:00,188273
07:00,339822
08:00,394679
09:00,183325
10:00,149722
11:00,207957
12:00,102838
13:00,96108
14:00,115837
15:00,108377
16:00,127521
17:00,213917
18:00,371062
19:00,341776
20:00,212104
21:00,123993
22:00,81265
23:00,43878
