origin,destination,distance_km,ridership
AG11: Chan Sow Lin,AG13: Maluri,1.3995121472554932,8609
AG11: Chan Sow Lin,AG14: Pandan Jaya,2.617328986555261,4476
AG11: Chan Sow Lin,AG15: Pandan Indah,3.502507929829931,2909
AG11: Chan Sow Lin,AG16: Cempaka,4.298927496788442,4489
AG11: Chan Sow Lin,AG17: Cahaya,4.762917779286507,3688
AG11: Chan Sow Lin,AG18: Ampang,5.515008291504974,7284
AG11: Chan Sow Lin,KG04: Kwasa Damansara,16.81297158169875,28
AG11: Chan Sow Lin,KG05: Kwasa Sentral,17.402117120253422,127
AG11: Chan Sow Lin,KG06: Kota Damansara,15.40100632497682,102
AG11: Chan Sow Lin,KG07: Surian,13.720880912998519,156
AG11: Chan Sow Lin,KG08: Mutiara Damansara,12.211485983592418,216
AG11: Chan Sow Lin,KG09: Bandar Utama,10.970783070396884,468
AG11: Chan Sow Lin,KG10: TTDI,9.490375369672693,303
AG11: Chan Sow Lin,KG12: Phileo Damansara,8.1259135017783,76
AG11: Chan Sow Lin,KG13: Pusat Bandar Damansara,6.103251855995488,112
AG11: Chan Sow Lin,KG14: Semantan,6.120376327913371,283
AG11: Chan Sow Lin,KG15: Muzium Negara,3.3049697137029153,426
AG11: Chan Sow Lin,KG16: Pasar Seni,2.7305519814174946,421
AG11: Chan Sow Lin,KG17: Merdeka,2.1569090699192692,345
AG11: Chan Sow Lin,KG20: Tun Razak Exchange,1.6671567656336337,1633
AG11: Chan Sow Lin,KG21: Cochrane,0.968173834727959,1414
AG11: Chan Sow Lin,KG22: Maluri,1.4404158581426076,7129
AG11: Chan Sow Lin,KG23: Taman Pertama,2.3060960240495434,423
AG11: Chan Sow Lin,KG24: Taman Midah,3.203533405183616,1299
AG11: Chan Sow Lin,KG25: Taman Mutiara,4.962358338108053,1680
AG11: Chan Sow Lin,KG26: Taman Connaught,6.355669842974161,953
AG11: Chan Sow Lin,KG27: Taman Suntex,8.234759647001804,708
AG11: Chan Sow Lin,KG28: Sri Raya,9.695807971510856,330
AG11: Chan Sow Lin,KG29: Bandar Tun Hussien Onn,11.068105897920477,457
AG11: Chan Sow Lin,KG30: Batu 11 Cheras,11.584186020920285,678
